,X,Y,AADT 2015,AADT 2016
135,-79.16058522,39.69769987,"3,382","3,493"
136,-77.06232468,39.15087513,"23,980","24,441"
137,-77.41677948,39.15295985,"3,485","3,660"
138,-76.58519867,39.15048908,"4,604","4,705"
139,-76.32607982,39.55631314,"5,174","5,295"
140,-77.01485104,39.33082097,"14,393","14,854"
141,-76.77372468,38.28715164,"3,471","3,582"
142,-76.61086352,39.29911985,"13,061","13,342"
143,-76.73406156,39.3836616,"10,684","10,925"
144,-76.25198527,39.48552537,643,664
145,-76.95296069,39.07640904,941,972
146,-75.68942247,38.18818807,92,93
147,-75.59823005,38.34667542,"13,312","11,560"
148,-76.70314548,39.29221712,"5,623","5,734"
149,-77.92289433,39.65746101,"4,155","3,930"
150,-76.65401934,39.42547952,"9,754","9,965"
151,-76.51926917,39.31760853,"12,400","12,641"
152,-76.47720528,39.33350794,"4,123","4,214"
153,-76.69133953,39.26816326,"12,273","12,504"
154,-77.74049946,39.70130926,"1,605","1,190"
155,-76.58712292,39.34171865,"27,440","27,961"
156,-76.67090766,39.63163915,"4,162","4,263"
157,-76.29176062,39.64750553,"1,914","1,985"
158,-76.93086127,38.91780754,"2,971","3,022"
159,-76.85025046,38.90836879,"3,655","6,250"
160,-76.74087607,39.30699332,"3,523","3,500"
161,-78.752932,39.63205538,752,740
162,-76.51335054,39.04236006,160,161
163,-75.94300379,39.57781406,"1,741","1,802"
164,-76.74639111,39.36018804,"190,533","185,270"
165,-76.66783198,39.23151541,"1,800","1,841"
166,-76.60320261,38.62959786,"3,684","3,815"
167,-75.74546144,39.11257383,"4,694","4,855"
168,-76.25182652,39.48536307,"2,063","2,114"
169,-76.48832615,39.33138961,"3,695","4,240"
170,-76.85360154,39.03319119,"11,893","12,124"
171,-76.58595681,39.39770998,"24,101","24,562"
172,-77.75024536,39.62466033,"1,150","1,171"
173,-76.58403581,39.36624295,"26,381","26,882"
174,-76.10523802,39.54528359,"6,330","6,451"
175,-76.48546922,39.35489404,"22,323","22,754"
176,-76.96021178,39.40913595,"3,664","3,755"
177,-77.13371402,39.00640048,"2,503","2,554"
178,-76.04369811,39.32295297,"1,322","1,363"
179,-76.9753197,38.80388795,"17,583","17,934"
180,-76.55126944,39.20135234,"5,622","5,733"
181,-76.89986686,38.99615641,"3,145","3,390"
182,-77.25062658,39.12019984,"21,530","21,941"
183,-76.54250683,39.3077335,"57,293","57,951"
184,-79.10480144,39.69015377,"1,592","1,710"
185,-76.99383222,39.5800725,"4,051","4,122"
186,-76.82126716,39.27561931,"2,832","2,883"
187,-76.83772432,39.23734114,"3,225","3,285"
188,-76.90273149,39.41079348,"2,161","2,212"
189,-76.03736307,39.58076474,"1,982","2,030"
190,-75.82923528,38.49242515,161,162
191,-76.93206033,38.84344492,"2,685","2,650"
192,-75.47643889,38.43939172,720,751
193,-76.49261726,39.33595164,"8,334","8,590"
194,-75.60491209,38.30717615,174,195
195,-75.61728325,38.3680118,"9,721","9,902"
196,-76.55426286,39.2760719,"13,712","15,500"
197,-76.53359109,39.35156827,272,283
198,-77.80712789,39.60436705,"16,962","16,720"
199,-76.56151271,39.51147044,"15,902","15,530"
200,-76.88564659,39.15810256,"11,254","11,485"
201,-76.56622013,39.40081281,"7,490","7,651"
202,-76.56909694,38.7109433,"5,612","5,470"
203,-76.70722775,39.22903695,"1,772","1,803"
204,-76.58296552,38.35733156,"27,952","28,860"
205,-76.59581304,38.73647026,824,865
206,-77.6621207,39.32842152,"1,350","1,371"
207,-77.15438619,39.09098754,"5,493","5,604"
208,-76.7351491,39.38569365,"57,650","58,741"
209,-76.53065459,39.3897199,"5,490","5,611"
210,-76.45212522,39.027116,"3,701","3,782"
211,-77.14237404,39.0763201,"2,503","2,554"
212,-75.80996812,39.35039171,"1,035",960
213,-76.9563762,38.98714001,"25,123","25,604"
214,-76.78497144,39.12256727,"1,110","1,141"
215,-76.87976198,38.99647131,462,640
216,-77.47789945,39.4265812,,
217,-78.83889518,39.63631496,"1,823","1,864"
218,-76.53721547,39.31518082,"74,651","75,501"
219,-76.16943626,39.50023883,"5,724","5,855"
220,-78.9698198,39.68206635,835,860
221,-75.77177443,38.68596169,"8,590","8,861"
222,-76.44158271,39.30063557,"11,281","11,492"
223,-77.58859887,39.40830772,480,491
224,-77.81069471,39.62738659,"9,120","9,291"
225,-75.76592785,39.3017131,"1,063","1,114"
226,-76.4949065,39.38058614,"1,445","1,430"
227,-76.72629027,39.29034441,"8,023","8,184"
228,-77.14362458,39.0774612,"3,223","3,294"
229,-76.49158508,38.97814601,"7,634","7,795"
230,-76.70753305,38.8105563,"5,401","5,572"
231,-78.27446756,39.62877073,20,21
232,-76.67888004,39.21168323,"6,122","6,243"
233,-78.74527851,39.68807891,890,911
234,-76.09744123,39.53948417,850,871
235,-76.81500435,39.13917202,"8,775","8,750"
236,-76.46918861,39.34175765,"9,370","9,561"
237,-76.57431512,39.38729016,"20,230","20,621"
238,-77.64885536,39.6428659,"12,282","12,680"
239,-76.51155308,39.2409249,"7,190","7,331"
240,-76.91193275,38.99711823,"2,153","2,204"
241,-76.74335657,39.31172443,"5,563","5,730"
242,-76.41832698,39.41392067,"1,483","1,514"
243,-76.64058197,39.15302857,"6,365","6,250"
244,-76.64610481,39.16628096,"21,070","21,471"
245,-76.53993603,39.41029179,"4,213","4,304"
